run_id,scene,kind,rmse_before,rmse_after,median_before,median_after,p90_before,p90_after,n_outliers_removed,n_points_before,n_points_after,n_obs_before,n_obs_after,time_seconds,run_dir
scene_ba,scene,ba_custom,3.8161120673535738,1.576688963744806,2.801217847116603,0.7924144125341204,6.42306894824171,2.7880653254445873,4280,9760,9679,116725,112366,122.09953904151917,/home/dhr/cv_final/data/scene/ba_custom/runs/20260627_075839_ba_custom
human1_ba_hq,1-human,ba_custom,3.3943965888729126,1.5290991504195786,2.304732729003582,0.9389891921869922,5.855182886529876,2.523786875843783,1616,18183,18162,138917,137280,195.5614311695099,/home/dhr/cv_final/data/1-human/ba_custom_hq/runs/20260629_083912_ba_custom
human2_ba_hq,2-human,ba_custom,3.0660043087328206,1.3570288692553802,1.9705369726826016,0.8064169515734703,5.268146029215766,2.213395544131652,1225,17678,17677,143966,142740,152.98183679580688,/home/dhr/cv_final/data/2-human/ba_custom_hq/runs/20260629_084714_ba_custom
scene32_ba_hq,scene_32,ba_custom,3.0237423613697096,1.4042132280085335,1.7995827150054284,0.7163087841184403,5.3138046735480176,2.389505749630753,2535,16405,16218,109823,107101,214.2161614894867,/home/dhr/cv_final/data/scene_32/ba_custom_hq_768/runs/20260629_091651_ba_custom
