scene,stage,path,images,points,observations,valid_observations,mean_px,median_px,rmse_px,p90_px,p95_px,track_mean,track_median,vggt_inference_seconds,track_prediction_seconds,time_seconds,outliers_removed,success,rot_delta_mean_deg,trans_delta_mean,rmse_before_px,rmse_after_px,median_before_px,median_after_px,p90_before_px,p90_after_px,input
scene,VGGT raw,data/scene/vggt_raw/runs/20260627_074913_vggt_export/reconstruction.npz,64,9760,116725,116725,3.1355978063040144,2.801217847116603,3.8161120673535738,6.42306894824171,7.112350800996136,11.95952868852459,10.0,19.68219828605652,34.11741518974304,,,,,,,,,,,,
scene,custom BA,data/scene/ba_custom/runs/20260627_075839_ba_custom/reconstruction.npz,64,9679,112366,112366,1.1712937597675046,0.7924144125341204,1.5766889637448063,2.788065325444638,3.579513155155106,11.609257154664737,10.0,,,122.09953904151917,4280,True,0.3010774835309079,0.004357484657967072,,,,,,,
1-human,VGGT raw,data/1-human/vggt_raw/runs/20260629_054036_vggt_export/reconstruction.npz,16,7667,57446,57446,2.8961929240626265,2.4889320931211483,3.5843232510143612,6.156945355665444,7.00457519142933,7.492630755184557,7.0,24.56050705909729,141.9696068763733,,,,,,,,,,,,
1-human,custom BA,data/1-human/ba_custom/runs/20260627_141400_ba_custom/reconstruction.npz,16,8202,61196,61196,1.1480058182631758,0.8893863126413668,1.4459369536936806,2.359979728255671,3.0238817699727165,7.4611070470616925,7.0,,,93.05643320083618,650,False,0.11701570096791951,0.004379739670964357,,,,,,,
2-human,VGGT raw,data/2-human/vggt_raw/runs/20260629_054504_vggt_export/reconstruction.npz,16,7421,59191,59191,2.5874849807824933,2.1639095373004857,3.2504692066829377,5.605696350640388,6.725031190578158,7.976148767012532,8.0,16.046183347702026,11.437955141067505,,,,,,,,,,,,
2-human,custom BA,data/2-human/ba_custom/runs/20260629_054632_ba_custom/reconstruction.npz,16,7252,57428,57428,1.3448620036735754,1.0702623447485295,1.6711008969417926,2.7870964024222835,3.48345339393588,7.918918918918919,8.0,,,61.869951486587524,1594,False,0.05243715444264626,0.001337760963776548,,,,,,,
1-human,high-density custom BA,data/1-human/ba_custom_hq/runs/20260629_083912_ba_custom/reconstruction.npz,,18162,137280,,,,,,,,,,,195.5614311695099,1616,True,,,3.3943965888729126,1.5290991504195786,2.304732729003582,0.9389891921869922,5.855182886529876,2.523786875843783,data/1-human/vggt_raw_hq_unmasked/runs/20260629_083702_vggt_export/reconstruction.npz
2-human,high-density custom BA,data/2-human/ba_custom_hq/runs/20260629_084714_ba_custom/reconstruction.npz,,17677,142740,,,,,,,,,,,152.98183679580688,1225,True,,,3.0660043087328206,1.3570288692553802,1.9705369726826016,0.8064169515734703,5.268146029215766,2.213395544131652,data/2-human/vggt_raw_hq_unmasked/runs/20260629_084616_vggt_export/reconstruction.npz
